obsdata,simdata,id,type
8893.33333333333,10633.591804768124,Allequash,Epilimnion
9642.30769230769,9256.51465141365,Allequash,Epilimnion
9733.33333333333,9772.23423249144,Allequash,Epilimnion
7271.42857142857,8204.043615923967,Allequash,Epilimnion
8361.904761904761,8368.341612467979,Allequash,Epilimnion
8000,7992.736656225449,Allequash,Epilimnion
8700,8279.945244298182,Allequash,Epilimnion
8733.33333333333,8187.15895064422,Allequash,Epilimnion
8990.47619047619,7944.81540803424,Allequash,Epilimnion
8400,8782.771945159477,Allequash,Epilimnion
9153.33333333333,9626.055401970538,Allequash,Epilimnion
12257.1428571429,10922.406388484138,Allequash,Epilimnion
9993.33333333333,9329.77073189144,Allequash,Epilimnion
7828.57142857143,8573.188391553129,Allequash,Epilimnion
8746.66666666667,8309.97444188792,Allequash,Epilimnion
8000,7734.786943386032,Allequash,Epilimnion
8700,8242.103555425469,Allequash,Epilimnion
8500,8124.255013066891,Allequash,Epilimnion
8442.30769230769,8149.301202187174,Allequash,Epilimnion
9619.04761904762,8260.858558431937,Allequash,Epilimnion
8976.19047619048,9025.231552802175,Allequash,Epilimnion
9300,8327.030149497674,Allequash,Epilimnion
10773.0769230769,10468.132665727037,Allequash,Epilimnion
9928.571428571431,9799.930556928372,Allequash,Epilimnion
8838.09523809524,8991.085161656467,Allequash,Epilimnion
7746.66666666667,7432.771453604189,Allequash,Epilimnion
8800,8409.071954164601,Allequash,Epilimnion
8700,7996.310618146099,Allequash,Epilimnion
8738.09523809524,7856.695605194997,Allequash,Epilimnion
8000,7636.792182136748,Allequash,Epilimnion
7771.42857142857,7924.3977768817585,Allequash,Epilimnion
7928.571428571429,9106.320619992355,Allequash,Epilimnion
8938.09523809524,9728.446741473264,Allequash,Epilimnion
11228.571428571398,9320.174027200906,Allequash,Epilimnion
9393.33333333333,8481.083127721793,Allequash,Epilimnion
9519.04761904762,8731.185086311449,Allequash,Epilimnion
8338.09523809524,7594.39990210681,Allequash,Epilimnion
9100,8374.024322205645,Allequash,Epilimnion
8400,7769.499225698255,Allequash,Epilimnion
8500,8040.008744941294,Allequash,Epilimnion
8561.53846153846,7519.227004195668,Allequash,Epilimnion
8057.69230769231,8719.88742209072,Allequash,Epilimnion
8400,8089.6310581840435,Allequash,Epilimnion
10752.380952381,10733.935108076688,Allequash,Epilimnion
10400,10646.883466616964,Allequash,Epilimnion
10146.6666666667,8769.791003821772,Allequash,Epilimnion
8300,8607.21198709441,Allequash,Epilimnion
7800,7382.113051698165,Allequash,Epilimnion
8540,7714.376142791581,Allequash,Epilimnion
8900,7781.776745137991,Allequash,Epilimnion
8119.04761904762,7642.430121203011,Allequash,Epilimnion
9100,8319.63678655736,Allequash,Epilimnion
8200,8392.835422295646,Allequash,Epilimnion
7688.46153846154,9161.87814768422,Allequash,Epilimnion
8452.38095238095,9458.78286853546,Allequash,Epilimnion
12240,10158.948282362411,Allequash,Epilimnion
10671.4285714286,9316.919166492416,Allequash,Epilimnion
9680.95238095238,8643.460541799333,Allequash,Epilimnion
8390.47619047619,8781.444532149784,Allequash,Epilimnion
9453.33333333333,8266.896711408814,Allequash,Epilimnion
8361.904761904761,7951.228167655206,Allequash,Epilimnion
9061.90476190476,7542.221685923272,Allequash,Epilimnion
8300,8334.07889740068,Allequash,Epilimnion
8552.38095238095,7580.281383751999,Allequash,Epilimnion
8200,7941.198366542415,Allequash,Epilimnion
7830.76923076923,8146.006789242663,Allequash,Epilimnion
8038.46153846154,8042.201738362951,Allequash,Epilimnion
8800,9928.411482275167,Allequash,Epilimnion
9700,9436.780696858925,Allequash,Epilimnion
10257.1428571429,9364.088962231292,Allequash,Epilimnion
